"Hash","Count","KeepCandidate","Paths"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","10","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\js\custom.js","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\js\custom.js;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\index.php;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\sources\index.php;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\index.php;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\fonts\index.php;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\fonts\font-awesome\index.php;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\fonts\pe-icon-7-stroke\index.php;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\fonts\pe-icon-7-stroke\css\index.php;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\fonts\pe-icon-7-stroke\fonts\index.php;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\fonts\revicons\index.php"
"5A3CC3C902B719D6C073C915636C014AE523AF9A14FAB5E808242593B91FC8B4","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\device\ic_network_wifi_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\device\ic_network_wifi_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\device\ic_signal_wifi_3_bar_24px.svg"
"3E850F0A5EBF1E0BFA149967352EFF6C9F9FF7C7D262C570FB0BEC99C9CDA33A","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\av\ic_games_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\av\ic_games_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\hardware\ic_gamepad_24px.svg"
"2894645DC9A542D65F105E3A7C263C5B8288972FDEFD8D5EAAC4BD8D5ABC0A41","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_history_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_history_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_restore_24px.svg"
"B42AA70AF8294B3C78CACFE69AAFD993E3AA9E64975EB7D3C0172AD3C134DCC7","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\tinymce\skins\ui\oxide\content.css","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\tinymce\skins\ui\oxide\content.css;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Admin_assets\vendor\tinymce\skins\ui\tinymce-5\content.css"
"E36F1D063CC9AE3C0ACD5B63CD747185B1CCBB0A4C9B571A235FE654B1A213B1","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\device\ic_airplanemode_active_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\device\ic_airplanemode_active_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\maps\ic_flight_24px.svg"
"474F2DEE5391671E3804E0F4852E069208BF9BEE234ED66D058C3E287A452477","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_credit_card_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_credit_card_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_payment_24px.svg"
"0F4E3619863D3F0CD8314F5816104650B42C083A89BF6110F2C1607FF329008B","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\maps\ic_local_activity_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\maps\ic_local_activity_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\maps\ic_local_play_24px.svg"
"6152F2337ED932C75D7E24B70DD249126B78AA450721AFAFEC14632323A470DF","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\busy-icons-svg\paper-clip.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\busy-icons-svg\paper-clip.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\busy-icons-svg\paper-plane.svg"
"398CEC3F2E81B31F36C273FE3610D985F103301925941DF0260D09EC85092FD4","2","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_question_answer_24px.svg","C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\action\ic_question_answer_24px.svg;C:\Users\hamidreza\Documents\C#\company-showcase-cms\src\Assets\vendor\rs-plugin\assets\svg\communication\ic_forum_24px.svg"
